CPT Missing Sheds — Assumed RFID Mapping
Counting DB date: 17/07/2026

Tag, shed, breed, type, and kid/adult values come from the CPT Counting DB DB tab.

SUMMARY
Missing sheds: 21
Synthetic RFID rows: 407
Kid: 407 | Adult: 0
Sheep: 298 | Goat: 109

ASSUMED_RFID	TAG	SHED	TYPE	BREED	KID_ADULT
ASSUMED-RFID-0073	F2-Male	Godel 2 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0074	F2-Male	Godel 2 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0075	F2-Male	Godel 2 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0076	F2-Male	Godel 2 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0077	F2-Male	Godel 2 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0078	F2-Male	Godel 2 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0079	F2-Male	Godel 2 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0080	F2-Male	Godel 2 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0081	F2-Male	Godel 2 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0082	F2-Male	Godel 2 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0083	F2-Male	Godel 2 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0084	F2-Male	Godel 2 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0085	F2-Male	Godel 2 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0086	F2-Male	Godel 2 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0087	F2-Male	Godel 2 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0088	F2-Male	Godel 2 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0089	F2-Male	Godel 2 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0090	F2-Male	Godel 2 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0091	F2-Male	Godel 2 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0092	F2-Male	Godel 2 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0093	F2-Male	Godel 2 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0094	F2-Male	Godel 2 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0095	F2-Male	Godel 2 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0096	F2-Male	Godel 2 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0097	F2-Male	Godel 2 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0098	F2-Male	Godel 2 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0099	F2-Male	Godel 2 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0100	F2-Male	Godel 2 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0101	F2-Male	Godel 2 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0102	F2-Male	Godel 2 - Part 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0103	F2-Male	Godel 2 - Part 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0104	F2-Male	Godel 2 - Part 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0105	F2-Male	Godel 2 - Part 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0106	F2-Male	Godel 2 - Part 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0107	F2-Male	Godel 2 - Part 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0108	F2-Male	Godel 2 - Part 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0109	F2-Male	Godel 2 - Part 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0110	F2-Male	Godel 2 - Part 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0111	F2-Male	Godel 2 - Part 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0112	F2-Male	Godel 2 - Part 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0113	F2-Male	Godel 2 - Part 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0114	F2-Male	Godel 2 - Part 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0115	F2-Male	Godel 2 - Part 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0116	F2-Male	Godel 2 - Part 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0117	F2-Male	Godel 2 - Part 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0118	F2-Male	Godel 2 - Part 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0119	F2-Male	Godel 2 - Part 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0120	F2-Male	Godel 2 - Part 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0121	F2-Male	Godel 2 - Part 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0122	F2-Male	Godel 2 - Part 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0123	F2-Male	Godel 2 - Part 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0124	F2-Male	Godel 2 - Part 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0125	F2-Male	Godel 2 - Part 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0126	F2-Male	Godel 2 - Part 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0127	F2-Male	Godel 2 - Part 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0128	F2-Male	Godel 2 - Part 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0129	F2-Male	Godel 2 - Part 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0130	F2-Male	Godel 2 - Part 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0131	F2-Male	Godel 2 - Part 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0132	F2-Male	Godel 2 - Part 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0133	F2-Male	Godel 2 - Part 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0134	F2-Male	Godel 2 - Part 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0135	F2-Male	Godel 2 - Part 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0136	F2-Male	Godel 2 - Part 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0137	F2-Male	Godel 2 - Part 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0138	F2-Male	Godel 2 - Part 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0139	F2-Male	Godel 2 - Part 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0140	F2-Male	Godel 2 - Part 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0141	F2-Female	Godel 2 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0142	F2-Female	Godel 2 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0143	F2-Female	Godel 2 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0144	F2-Female	Godel 2 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0145	F2-Female	Godel 2 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0146	F2-Female	Godel 2 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0147	F2-Female	Godel 2 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0148	F2-Female	Godel 2 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0149	F2-Female	Godel 2 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0150	F2-Female	Godel 2 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0151	F2-Female	Godel 2 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0152	F2-Female	Godel 2 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0153	F2-Female	Godel 2 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0154	F2-Female	Godel 2 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0155	F2-Female	Godel 2 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0156	F2-Female	Godel 2 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0157	F2-Female	Godel 2 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0158	F2-Female	Godel 2 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0159	F2-Female	Godel 2 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0160	F2-Female	Godel 2 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0161	F2-Female	Godel 2 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0162	F2-Female	Godel 2 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0163	F2-Female	Godel 2 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0164	F2-Female	Godel 2 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0165	F2-Female	Godel 2 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0166	F2-Female	Godel 2 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0167	F2-Female	Godel 2 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0168	F2-Female	Godel 2 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0169	F2-Female	Godel 2 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0170	F2-Female	Godel 2 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0171	F2-Female	Godel 2 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0172	F2-Female	Godel 2 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0173	F2-Female	Godel 2 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0174	F2-Female	Godel 2 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0175	F2-Female	Godel 2 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0176	F2-Female	Godel 2 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0177	F2-Female	Godel 2 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0178	F2-Female	Godel 2 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0179	F2-Female	Godel 2 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0180	F2-Male	Mandela 1 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0181	F2-Male	Mandela 1 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0182	F2-Male	Mandela 1 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0183	F2-Male	Mandela 1 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0184	F2-Male	Mandela 1 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0185	F2-Male	Mandela 1 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0186	F2-Male	Mandela 1 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0187	F2-Male	Mandela 1 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0188	F2-Male	Mandela 1 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0189	F2-Male	Mandela 1 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0190	F2-Female	Mandela 1 - Part 10	Goat	Beetal	Kid
ASSUMED-RFID-0191	F2-Female	Mandela 1 - Part 10	Goat	Beetal	Kid
ASSUMED-RFID-0192	F2-Female	Mandela 1 - Part 10	Goat	Beetal	Kid
ASSUMED-RFID-0193	F2-Female	Mandela 1 - Part 10	Goat	Beetal	Kid
ASSUMED-RFID-0194	F2-Female	Mandela 1 - Part 10	Goat	Beetal	Kid
ASSUMED-RFID-0195	F2-Female	Mandela 1 - Part 10	Goat	Beetal	Kid
ASSUMED-RFID-0196	F2-Female	Mandela 1 - Part 10	Goat	Beetal	Kid
ASSUMED-RFID-0197	F2-Female	Mandela 1 - Part 10	Goat	Beetal	Kid
ASSUMED-RFID-0198	F2-Female	Mandela 1 - Part 10	Goat	Beetal	Kid
ASSUMED-RFID-0199	F2-Female	Mandela 1 - Part 10	Goat	Beetal	Kid
ASSUMED-RFID-0200	F2-Female	Mandela 1 - Part 10	Goat	Beetal	Kid
ASSUMED-RFID-0201	F2-Female	Mandela 1 - Part 10	Goat	Beetal	Kid
ASSUMED-RFID-0202	F2-Female	Mandela 1 - Part 10	Goat	Beetal	Kid
ASSUMED-RFID-0203	F2-Female	Mandela 1 - Part 10	Goat	Beetal	Kid
ASSUMED-RFID-0204	F2-Female	Mandela 1 - Part 2	Goat	Beetal	Kid
ASSUMED-RFID-0205	F2-Female	Mandela 1 - Part 2	Goat	Beetal	Kid
ASSUMED-RFID-0206	F2-Female	Mandela 1 - Part 2	Goat	Beetal	Kid
ASSUMED-RFID-0207	F2-Female	Mandela 1 - Part 2	Goat	Beetal	Kid
ASSUMED-RFID-0208	F2-Female	Mandela 1 - Part 2	Goat	Beetal	Kid
ASSUMED-RFID-0209	F2-Female	Mandela 1 - Part 2	Goat	Beetal	Kid
ASSUMED-RFID-0210	F2-Female	Mandela 1 - Part 2	Goat	Beetal	Kid
ASSUMED-RFID-0211	F2-Male	Mandela 1 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0212	F2-Male	Mandela 1 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0213	F2-Male	Mandela 1 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0214	F2-Male	Mandela 1 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0215	F2-Male	Mandela 1 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0216	F2-Male	Mandela 1 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0217	F2-Male	Mandela 1 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0218	F2-Male	Mandela 1 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0219	F2-Male	Mandela 1 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0220	F2-Male	Mandela 1 - Part 3	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0221	F2-Male	Mandela 1 - Part 4	Goat	Beetal	Kid
ASSUMED-RFID-0222	F2-Male	Mandela 1 - Part 4	Goat	Beetal	Kid
ASSUMED-RFID-0223	F2-Male	Mandela 1 - Part 4	Goat	Beetal	Kid
ASSUMED-RFID-0224	F2-Male	Mandela 1 - Part 4	Goat	Beetal	Kid
ASSUMED-RFID-0225	F2-Male	Mandela 1 - Part 4	Goat	Beetal	Kid
ASSUMED-RFID-0226	F2-Male	Mandela 1 - Part 4	Goat	Beetal	Kid
ASSUMED-RFID-0227	F2-Male	Mandela 1 - Part 4	Goat	Beetal	Kid
ASSUMED-RFID-0228	F2-Male	Mandela 1 - Part 4	Goat	Beetal	Kid
ASSUMED-RFID-0229	F2-Male	Mandela 1 - Part 4	Goat	Beetal	Kid
ASSUMED-RFID-0230	F2-Male	Mandela 1 - Part 4	Goat	Beetal	Kid
ASSUMED-RFID-0231	F2-Female	Mandela 1 - Part 5	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0232	F2-Female	Mandela 1 - Part 5	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0233	F2-Female	Mandela 1 - Part 5	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0234	F2-Female	Mandela 1 - Part 5	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0235	F2-Female	Mandela 1 - Part 5	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0236	F2-Female	Mandela 1 - Part 5	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0237	F2-Female	Mandela 1 - Part 5	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0238	F2-Female	Mandela 1 - Part 5	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0239	F2-Female	Mandela 1 - Part 6	Goat	Beetal	Kid
ASSUMED-RFID-0240	F2-Female	Mandela 1 - Part 6	Goat	Beetal	Kid
ASSUMED-RFID-0241	F2-Female	Mandela 1 - Part 6	Goat	Beetal	Kid
ASSUMED-RFID-0242	F2-Female	Mandela 1 - Part 6	Goat	Beetal	Kid
ASSUMED-RFID-0243	F2-Female	Mandela 1 - Part 6	Goat	Beetal	Kid
ASSUMED-RFID-0244	F2-Female	Mandela 1 - Part 6	Goat	Beetal	Kid
ASSUMED-RFID-0245	F2-Female	Mandela 1 - Part 6	Goat	Beetal	Kid
ASSUMED-RFID-0246	F2-Female	Mandela 1 - Part 6	Goat	Beetal	Kid
ASSUMED-RFID-0247	F2-Female	Mandela 1 - Part 6	Goat	Beetal	Kid
ASSUMED-RFID-0248	F2-Female	Mandela 1 - Part 6	Goat	Beetal	Kid
ASSUMED-RFID-0249	F2-Male	Mandela 1 - Part 7	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0250	F2-Male	Mandela 1 - Part 7	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0251	F2-Male	Mandela 1 - Part 7	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0252	F2-Male	Mandela 1 - Part 7	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0253	F2-Male	Mandela 1 - Part 7	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0254	F2-Male	Mandela 1 - Part 7	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0255	F2-Male	Mandela 1 - Part 7	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0256	F2-Female	Mandela 1 - Part 8	Goat	Beetal	Kid
ASSUMED-RFID-0257	F2-Female	Mandela 1 - Part 8	Goat	Beetal	Kid
ASSUMED-RFID-0258	F2-Female	Mandela 1 - Part 8	Goat	Beetal	Kid
ASSUMED-RFID-0259	F2-Female	Mandela 1 - Part 8	Goat	Beetal	Kid
ASSUMED-RFID-0260	F2-Female	Mandela 1 - Part 8	Goat	Beetal	Kid
ASSUMED-RFID-0261	F2-Female	Mandela 1 - Part 8	Goat	Beetal	Kid
ASSUMED-RFID-0262	F2-Female	Mandela 1 - Part 8	Goat	Beetal	Kid
ASSUMED-RFID-0263	F2-Female	Mandela 1 - Part 8	Goat	Beetal	Kid
ASSUMED-RFID-0264	F2-Female	Mandela 1 - Part 8	Goat	Beetal	Kid
ASSUMED-RFID-0265	F2-Female	Mandela 1 - Part 8	Goat	Beetal	Kid
ASSUMED-RFID-0266	F2-Female	Mandela 1 - Part 8	Goat	Beetal	Kid
ASSUMED-RFID-0267	F2-Female	Mandela 1 - Part 8	Goat	Beetal	Kid
ASSUMED-RFID-0268	F2-Female	Mandela 1 - Part 8	Goat	Beetal	Kid
ASSUMED-RFID-0269	F2-Female	Mandela 1 - Part 8	Goat	Beetal	Kid
ASSUMED-RFID-0270	F2-Female	Mandela 1 - Part 8	Goat	Beetal	Kid
ASSUMED-RFID-0271	F2-Male	Mandela 1 - Part 9	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0272	F2-Male	Mandela 1 - Part 9	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0273	F2-Male	Mandela 1 - Part 9	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0274	F2-Male	Mandela 1 - Part 9	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0275	F2-Male	Mandela 1 - Part 9	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0276	F2-Male	Mandela 1 - Part 9	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0277	F2-Male	Mandela 1 - Part 9	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0278	F2-Male	Mandela 1 - Part 9	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0279	F2-Male	Mandela 1 - Part 9	Sheep	Anantapur Sheep	Kid
